"Name","Effect","Source","User (AP)","Magic Stones"
"Auto-Reflect","Permanent Reflect status throughout battle.","Reflect Ring","Zidane (95), Vivi (70), Steiner (95), Dagger (75), Freya (95), Quina (75), Eiko (70), Amarant (85)",15
"Auto-Float","Permanent Float status throughout battle.","Venetia Shield, Feather Boots","Zidane (20), Vivi (20), Steiner (20), Dagger (20), Freya (20), Quina (40), Eiko (25), Amarant (35)",6
"Auto-Haste","Permanent Haste status throughout battle.","Running Shoes","Zidane (55), Vivi (55), Steiner (65), Dagger (55), Freya (75), Quina (70), Eiko (65), Amarant (70)",9
"Auto-Regen","Permanent Regen status throughout battle. Regen runs even during battle animations.","Golem's Flute, Golden Hairpin, Glutton's Robe, Light Robe, Carabini Mail, Brave Suit, Maiden Prayer, Angel Earrings","Zidane (25), Vivi (30), Steiner (75), Dagger (35), Freya (25), Quina (30), Eiko (35), Amarant (35)",10
"Auto-Life","Start battle with Auto-Life status.","Rebirth Ring","Zidane (130), Vivi (70), Steiner (155), Dagger (105), Freya (125), Quina (165), Eiko (100), Amarant (140)",12
"HP+10%","Increases max HP by 10%.","Chain Mail, Judo Uniform, Aquamarine, Germinas Boots","Steiner (20), Freya (30), Amarant (10)",4
"HP+20%","Increases max HP by 20%.","Mantra Band, Genji Helmet, Adaman Hat, Defense Gloves, Maximillian, Black Belt, Battle Boots","Zidane (40), Steiner (60), Freya (75), Amarant (40)",8
"MP+10%","Increases max MP by 10%.","Magician Cloak, Magician Robe, Emerald, Magician Shoes, Extension","Freya (35), Quina (50), Eiko (15)",4
"MP+20%","Increases max MP by 20%.","Black Robe, Angel Earrings","Vivi (30), Dagger (45), Eiko (50)",8
"Accuracy+","Physical attacks always hit, even on Vanish targets.","Diamond Helm, Black Hood, Power Wrist, Genji Armor, Lapis Lazuli","Zidane (30), Steiner (40), Freya (30), Amarant (30)",2
"Distract","Halves attacker's physical attack accuracy.","Judo Uniform, Shield Armor, Diamond, Reflect Ring","Zidane (30), Steiner (30), Freya (25)",5
"Long Reach","Attacks from back row deal same damage as front row attacks.","Thief Hat, Protect Ring","Zidane (170), Steiner (200), Freya (210), Amarant (210)",16
"MP Attack","Each attack will use 1/8 of a character's max MP to deal 1.5 times the normal damage.","Red Hat, Cross Helm, Battle Boots, Power Belt","Zidane (45), Steiner (50), Freya (20), Amarant (60)",5
"Bird Killer","Physical attacks deal 1.5x damage to aerial enemies.","Bronze Armor, Chain Mail, Adaman Vest, Yellow Scarf","Zidane (20), Steiner (25), Freya (30), Amarant (10)",3
"Bug Killer","Physical attacks deal 1.5x damage to insect enemies. ","Bronze Helm, Mythril Gloves, Mythril Armlet","Zidane (35), Steiner (50), Freya (25), Amarant (10)",2
"Stone Killer","Physical attacks deal 1.5x damage to stone enemies. ","Platinum Helm, Adaman Vest, Gold Armor, Power Vest","Zidane (30), Steiner (20), Freya (20), Amarant (10)",4
"Undead Killer","Physical attacks deal 1.5x damage to undead enemies.","Headgear, Ritual Hat, Silver Gloves, N-Kai Armlet, Plate Mail","Zidane (45), Steiner (30), Freya (20), Amarant (10)",2
"Dragon Killer","Physical attacks deal 1.5x damage to dragon enemies.","Javelin, Barbut","Freya (70)",3
"Devil Killer","Physical attacks deal 1.5x damage to demon enemies.","Cross Helm, Thunder Gloves, Chain Plate, Demon's Vest","Zidane (25), Steiner (30), Freya (30), Amarant (10)",2
"Beast Killer","Physical attacks deal 1.5x damage to beast enemies.","Broadsword, Flash Hat, Leather Wrist, Egoist's Armle, Platina Armor, Moonstone, Black Belt","Zidane (30), Steiner (55), Freya (25), Amarant (10)",4
"Man Eater","Physical attacks deal 1.5x damage to human enemies. ","Bandana, Coronet, Mythril Gloves, Coral Ring","Zidane (25), Steiner (20), Freya (20), Amarant (10)",2
"High Jump","Increases damage from Freya's Jump command.","Dragon Mail","Freya (75)",4
"Master Thief","Chance of obtaining rare items x32, giving 1/8 chance of stealing an item; 2x the chance of obtaining semi-rare items, also giving 1/8 chance of stealing an item.","Thief Gloves","Zidane (50)",5
"Steal Gil","Gain a minor amount of gil alongside stolen items.","Glass Armlet, Yellow Scarf","Zidane (40)",5
"Healer","Physical attacks heal targets. If the target is weak to the user's killer ability or weapon element, they get healed more.","Healing Rod, Anklet, Garnet","Vivi (20), Dagger (30), Quina (60), Eiko (20), Amarant (40)",2
"Add Status","Chance of inflicting weapon's status to target. For Zidane, only works with daggers. Hit chance depends on weapon.","Bone Wrist, Chimera Armlet, Bracer, Feather Hat, Twist Headband, Glass Buckle, Thunder Gloves","Zidane (35), Vivi (25), Steiner (50), Freya (25), Quina (35), Amarant (20)",3
"Gamble Defense","The character's Defense stat changes randomly when attacked between 0 and Defense x2.","Twist Headband, Adaman Hat, Power Vest, Barette","Zidane (20), Freya (20), Quina (40), Amarant (35)",1
"Chemist","Doubles the effect of Potion, Hi-Potion and Ether.","Cotton Robe, Grand Armor, Barette, Madain's Ring","Dagger (15), Steiner (20), Freya (35)",4
"Power Throw","Augments Amarant's Throw command.","Bracer","Amarant (125)",19
"Power Up","Doubles the potency of Amarant's Chakra Flair.","Golden Skullcap","Amarant (30)",3
"Reflect-Null","Spells bypass targets' Reflect status.","Robe of Lords, Pearl Rouge","Vivi (30), Dagger (45), Eiko (55)",7
"Reflectx2","Boosts the power of spells that are reflected.","Black Robe, Rosetta Ring","Vivi (110)",17
"Mag Elem Null","Renders all used magic spells non-elemental. Elem-Atk gear still take effect on compatible spells.","Promist Ring, Protect Ring","Vivi (115)",13
"Concentrate","Augments Cure, Cura, Curaga, Life and Full-Life, as well as the summon Phoenix's reviving power.","Robe of Lords, Rosetta Ring","Dagger (80), Eiko (90)",10
"Half MP","Halves MP cost of abilities in battle.","Light Robe, Protect Ring","Vivi (140), Dagger (125), Quina (90), Eiko (120)",11
"High Tide","The Trance gauge fills faster.","Quina's Forks, Partisan, Dark Hat, Grand Helm, Jade Armlet, Genji Gloves, Gaia Gear, Demon's Mail, Minerva's Plate, Sapphire","Zidane (35), Vivi (25), Steiner (35), Dagger (30), Freya (20), Quina (250), Eiko (30), Amarant (60)",8
"Counter","When hit by a physical attack, the user attacks back with their own physical attack. Counter can be initiated even by missed hits.","All of Amarant's claws (apart from Rune Claws), Ritual Hat, Power Vest, Power Belt, Venetia Shield, Anklet","Zidane (70), Steiner (100), Freya (85), Quina (55), Amarant (240)",8
"Cover","User intercepts enemy's physical attack on a party member to take damage instead of them.","Red Hat, Gauntlets, Linen Cuirass, Mythril Armor","Steiner (20), Freya (30), Amarant (90)",6
"Protect Girls","Zidane intercepts enemy's physical attack . Activates when a female party member is at 50% HP or below.","Butterfly Sword, Leather Shirt","Zidane (35)",4
"Eye 4 Eye","Raises Counter rate.","Kaiser Helm, Flash Hat, Ninja Gear, Rubber Suit","Zidane (60), Steiner (35), Freya (35), Amarant (50)",5
"Body Temp","Immunizes against Freeze and Heat.","Holy Miter, Jade Armlet, Glutton's Robe, Genji Armor, Diamond, Fairy Earrings, Madain's Ring","Zidane (25), Vivi (15), Steiner (35), Dagger (25), Freya (20), Quina (20), Eiko (20), Amarant (30)",4
"Alert","Reduces chance of Back Attacks from 9% to 0%.","Barbut, Ninja Gear, Germinas Boots","Zidane (40), Steiner (60), Amarant (30)",4
"Initiative","Improves party's chance to get a preemptive strike from from 6% to 33%.","Obelisk, Battle Boots","Freya (95)",5
"Level Up","User earns x1.5 EXP from battles.","Iron Helm, Egoist's Armlet, Pearl Rouge, Fairy Earrings, Extension, Rosetta Ring","Zidane (75), Vivi (30), Steiner (50), Dagger (50), Freya (40), Quina (60), Eiko (65), Amarant (50)",7
"Ability Up","Doubles the amount of Ability Points earned from battles.","Stardust Rod, Green Beret, Diamond Gloves, Silk Robe, Brigandine, Diamond Armor, Cachusha, Ribbon, Lapis Lazuli","Zidane (95), Vivi (55), Steiner (70), Dagger (60), Freya (65), Quina (40), Eiko (55), Amarant (90)",3
"Millionaire","Receive x1.5 gil after battle.","Yellow Scarf","Quina (100)",5
"Flee-Gil","Party earns gil from battle even when they escape. Has no effect on Flee. Stacks with Millionaire. ","Wrist, Desert Boots, Gold Choker","Zidane (45), Amarant (30)",3
"Guardian Mog","Removes Eiko's status ailments before EXP and AP are given at the end of battle. Does not function until the party receives the first Ribbon item.","Ribbon, Madain's Ring","Eiko (30)",3
"Insomniac","Immunizes against Sleep.","Mythril Helm, Bandana, Diamond Helm, Holy Miter, Magician Cloak, Gaia Gear, Coral Ring","Zidane (30), Vivi (25), Steiner (25), Dagger (25), Freya (30), Quina (40), Eiko (25), Amarant (20)",5
"Antibody","Immunizes against Poison and Venom.","Mythril Helm, Mantra Band, Bronze Gloves, Glass Armlet, Survival Vest, Glutton's Robe, Glass Buckle","Zidane (20), Vivi (30), Steiner (35), Dagger (15), Freya (15), Quina (20), Eiko (20), Amarant (25)",4
"Bright Eyes","Immunizes against Darkness.","Feather Hat, Iron Helm, Ritual Hat, Cachusha","Zidane (35), Steiner (25), Freya (20), Amarant (25)",4
"Loudmouth","Immunizes against Silence.","Mage's Hat, Golden Hairpin, Silk Robe, White Robe, Pearl Rouge","Vivi (40), Dagger (20), Quina (30), Eiko (15)",4
"Restore HP","If the user has 1/6 or less of their max HP, take damage from an enemy attack and survive, they recover 50% of their max HP.","Platinum Helm, Minerva's Plate, Brave Suit, Grand Armor, Promist Ring","Zidane (85), Steiner (100), Freya (85), Amarant (75)",8
"Jelly","Immunizes against Petrify and Gradual Petrify.","Dark Hat, Circlet, Diamond Gloves, Dragon Wrist, Bronze Vest, Mythril Armor, Dark Gear","Zidane (35), Vivi (25), Steiner (30), Dagger (40), Freya (30), Quina (35), Eiko (35), Amarant (15)",4
"Return Magic","If hit by an enemy spell, the user counterattacks with the same spell. Uses no MP and the caster does not need to know the spell.","Coronet, Brigandine","Vivi (90), Amarant (170)",9
"Absorb MP","When struck by an enemy's spell, Quina gains MP equal to that spell’s casting cost.","Promist Ring","Quina (80)",6
"Auto-Potion","Uses a Potion when hit. If there are no Potions, uses Hi-Potion instead.","Mythril Vest, Magician Robe, Demon's Vest, White Robe, Running Shoes, Gold Choker, Extension","Zidane (30), Vivi (10), Steiner (20), Dagger (20), Freya (30), Quina (20), Eiko (30), Amarant (30)",3
"Locomotion","Immunizes against Stop.","Black Hood, Golden Skullcap, Survival Vest, Plate Mail, Demon's Vest, Ninja Gear, Anklet","Zidane (30), Vivi (35), Steiner (35), Dagger (30), Freya (25), Quina (20), Eiko (15), Amarant (20)",4
"Clear Headed","Immunizes against Confusion.","Gold Helm, Lamia's Tiara, Green Beret, Circlet, Magic Armlet, Dark Gear, Magician Shoes","Zidane (25), Vivi (15), Steiner (30), Dagger (25), Freya (35), Quina (25), Eiko (15), Amarant (30)",5
"Boost","Shows eidolons' full length summon animation every time (unless used as a counter attack from Dagger's Trance).","Pumice Piece","Dagger (190), Eiko (150)",12
"Odin's Sword","If Odin's Zantetsuken fails to kill the target, it receives non-elemental damage.","Ancient Aroma","Dagger (50)",5
"Mug","Makes steals deal minor damage.","Chimera Armlet, Thief Hat, Survival Vest","Zidane (65)",3
"Bandit","Steal never misses. Does not improve the chance of actually getting an item.","Mythril Dagger, N-Kai Armlet","Zidane (40)",5
